Date,Time,Time since start (s),X (N.m),Y (N.m),Z (N.m)
04/06/2026,18:00:35,9648.4,1.685917E-06,0.0001226696,-2.469862E-05
04/06/2026,18:00:35,9648.6,1.684746E-06,0.000122663,-2.469718E-05
04/06/2026,18:00:35,9648.8,1.683571E-06,0.0001226564,-2.469575E-05
04/06/2026,18:00:35,9649,1.682392E-06,0.0001226498,-2.469431E-05
04/06/2026,18:00:36,9649.2,1.681212E-06,0.0001226432,-2.469288E-05
04/06/2026,18:00:36,9649.4,1.680035E-06,0.0001226366,-2.469144E-05
04/06/2026,18:00:36,9649.6,1.678857E-06,0.00012263,-2.469001E-05
04/06/2026,18:00:36,9649.8,1.677675E-06,0.0001226234,-2.468857E-05
04/06/2026,18:00:36,9650,1.676493E-06,0.0001226169,-2.468714E-05
04/06/2026,18:00:37,9650.2,1.675309E-06,0.0001226103,-2.468571E-05
04/06/2026,18:00:37,9650.4,1.674124E-06,0.0001226037,-2.468427E-05
04/06/2026,18:00:37,9650.6,1.67294E-06,0.0001225971,-2.468284E-05
04/06/2026,18:00:37,9650.8,1.67175E-06,0.0001225905,-2.46814E-05
04/06/2026,18:00:37,9651,1.670563E-06,0.0001225839,-2.467997E-05
04/06/2026,18:00:38,9651.2,1.669381E-06,0.0001225773,-2.467854E-05
04/06/2026,18:00:38,9651.4,1.6682E-06,0.0001225708,-2.467711E-05
04/06/2026,18:00:38,9651.6,1.667024E-06,0.0001225642,-2.467568E-05
04/06/2026,18:00:38,9651.8,1.665846E-06,0.0001225576,-2.467425E-05
04/06/2026,18:00:38,9652,1.664656E-06,0.000122551,-2.467281E-05
04/06/2026,18:00:39,9652.2,1.663465E-06,0.0001225444,-2.467138E-05
04/06/2026,18:00:39,9652.4,1.662278E-06,0.0001225378,-2.466994E-05
04/06/2026,18:00:39,9652.6,1.661088E-06,0.0001225312,-2.466851E-05
04/06/2026,18:00:39,9652.8,1.659898E-06,0.0001225247,-2.466708E-05
04/06/2026,18:00:39,9653,1.658703E-06,0.0001225181,-2.466565E-05
04/06/2026,18:00:40,9653.2,1.657505E-06,0.0001225115,-2.466422E-05
04/06/2026,18:00:40,9653.4,1.656315E-06,0.000122505,-2.46628E-05
04/06/2026,18:00:40,9653.6,1.655126E-06,0.0001224985,-2.466137E-05
04/06/2026,18:00:40,9653.8,1.653941E-06,0.0001224919,-2.465995E-05
04/06/2026,18:00:40,9654,1.652763E-06,0.0001224854,-2.465853E-05
04/06/2026,18:00:41,9654.2,1.651585E-06,0.0001224789,-2.465711E-05
04/06/2026,18:00:41,9654.4,1.650399E-06,0.0001224723,-2.465568E-05
04/06/2026,18:00:41,9654.6,1.649209E-06,0.0001224658,-2.465426E-05
04/06/2026,18:00:41,9654.8,1.648026E-06,0.0001224593,-2.465284E-05
04/06/2026,18:00:41,9655,1.646841E-06,0.0001224528,-2.465142E-05
04/06/2026,18:00:42,9655.2,1.645649E-06,0.0001224463,-2.465001E-05
04/06/2026,18:00:42,9655.4,1.644452E-06,0.0001224398,-2.464859E-05
04/06/2026,18:00:42,9655.6,1.643258E-06,0.0001224332,-2.464717E-05
04/06/2026,18:00:42,9655.8,1.642067E-06,0.0001224267,-2.464575E-05
04/06/2026,18:00:42,9656,1.640876E-06,0.0001224202,-2.464433E-05
04/06/2026,18:00:43,9656.2,1.639681E-06,0.0001224137,-2.464291E-05
04/06/2026,18:00:43,9656.4,1.63848E-06,0.0001224072,-2.464149E-05
04/06/2026,18:00:43,9656.6,1.637278E-06,0.0001224007,-2.464007E-05
04/06/2026,18:00:43,9656.8,1.63607E-06,0.0001223941,-2.463864E-05
04/06/2026,18:00:43,9657,1.634855E-06,0.0001223876,-2.463722E-05
04/06/2026,18:00:44,9657.2,1.63364E-06,0.0001223811,-2.46358E-05
04/06/2026,18:00:44,9657.4,1.632426E-06,0.0001223746,-2.463438E-05
04/06/2026,18:00:44,9657.6,1.631208E-06,0.0001223681,-2.463296E-05
04/06/2026,18:00:44,9657.8,1.629993E-06,0.0001223616,-2.463154E-05
04/06/2026,18:00:44,9658,1.628776E-06,0.0001223551,-2.463012E-05
04/06/2026,18:00:45,9658.2,1.627544E-06,0.0001223486,-2.46287E-05
04/06/2026,18:00:45,9658.4,1.626296E-06,0.0001223421,-2.462728E-05
04/06/2026,18:00:45,9658.6,1.625042E-06,0.0001223356,-2.462585E-05
04/06/2026,18:00:45,9658.8,1.623785E-06,0.000122329,-2.462442E-05
04/06/2026,18:00:45,9659,1.622525E-06,0.0001223225,-2.4623E-05
04/06/2026,18:00:46,9659.2,1.621268E-06,0.000122316,-2.462158E-05
04/06/2026,18:00:46,9659.4,1.620011E-06,0.0001223095,-2.462015E-05
04/06/2026,18:00:46,9659.6,1.618749E-06,0.0001223031,-2.461873E-05
04/06/2026,18:00:46,9659.8,1.617484E-06,0.0001222966,-2.461731E-05
04/06/2026,18:00:46,9660,1.61622E-06,0.0001222901,-2.46159E-05
04/06/2026,18:00:47,9660.2,1.614962E-06,0.0001222836,-2.461448E-05
04/06/2026,18:00:47,9660.4,1.61371E-06,0.0001222772,-2.461307E-05
04/06/2026,18:00:47,9660.6,1.612467E-06,0.0001222708,-2.461166E-05
04/06/2026,18:00:47,9660.8,1.611235E-06,0.0001222643,-2.461026E-05
04/06/2026,18:00:47,9661,1.610009E-06,0.0001222579,-2.460885E-05
04/06/2026,18:00:48,9661.2,1.608787E-06,0.0001222515,-2.460745E-05
04/06/2026,18:00:48,9661.4,1.607566E-06,0.0001222451,-2.460606E-05
04/06/2026,18:00:48,9661.6,1.606345E-06,0.0001222388,-2.460466E-05
04/06/2026,18:00:48,9661.8,1.605121E-06,0.0001222324,-2.460327E-05
04/06/2026,18:00:48,9662,1.603898E-06,0.000122226,-2.460188E-05
04/06/2026,18:00:49,9662.2,1.60268E-06,0.0001222197,-2.460049E-05
04/06/2026,18:00:49,9662.4,1.601463E-06,0.0001222133,-2.45991E-05
04/06/2026,18:00:49,9662.6,1.600245E-06,0.000122207,-2.459771E-05
04/06/2026,18:00:49,9662.8,1.599021E-06,0.0001222006,-2.459632E-05
04/06/2026,18:00:49,9663,1.597785E-06,0.0001221943,-2.459493E-05
04/06/2026,18:00:50,9663.2,1.596547E-06,0.0001221879,-2.459354E-05
04/06/2026,18:00:50,9663.4,1.595311E-06,0.0001221816,-2.459215E-05
04/06/2026,18:00:50,9663.6,1.594073E-06,0.0001221752,-2.459076E-05
04/06/2026,18:00:50,9663.8,1.592832E-06,0.0001221689,-2.458938E-05
04/06/2026,18:00:50,9664,1.591584E-06,0.0001221626,-2.458799E-05
04/06/2026,18:00:51,9664.2,1.59033E-06,0.0001221563,-2.458661E-05
04/06/2026,18:00:51,9664.4,1.589076E-06,0.00012215,-2.458523E-05
04/06/2026,18:00:51,9664.6,1.587822E-06,0.0001221437,-2.458385E-05
04/06/2026,18:00:51,9664.8,1.586569E-06,0.0001221375,-2.458247E-05
04/06/2026,18:00:51,9665,1.585317E-06,0.0001221312,-2.458109E-05
04/06/2026,18:00:52,9665.2,1.584071E-06,0.0001221249,-2.457972E-05
04/06/2026,18:00:52,9665.4,1.582828E-06,0.0001221187,-2.457835E-05
04/06/2026,18:00:52,9665.6,1.581586E-06,0.0001221124,-2.457698E-05
04/06/2026,18:00:52,9665.8,1.580348E-06,0.0001221062,-2.457561E-05
04/06/2026,18:00:52,9666,1.579106E-06,0.0001221,-2.457424E-05
04/06/2026,18:00:53,9666.2,1.577862E-06,0.0001220937,-2.457287E-05
04/06/2026,18:00:53,9666.4,1.576618E-06,0.0001220875,-2.457151E-05
04/06/2026,18:00:53,9666.6,1.575364E-06,0.0001220813,-2.457014E-05
04/06/2026,18:00:53,9666.8,1.57411E-06,0.0001220751,-2.456877E-05
04/06/2026,18:00:53,9667,1.57286E-06,0.0001220689,-2.456741E-05
04/06/2026,18:00:54,9667.2,1.571603E-06,0.0001220626,-2.456604E-05
04/06/2026,18:00:54,9667.4,1.570345E-06,0.0001220564,-2.456468E-05
04/06/2026,18:00:54,9667.6,1.569091E-06,0.0001220502,-2.456332E-05
04/06/2026,18:00:54,9667.8,1.567837E-06,0.000122044,-2.456196E-05
04/06/2026,18:00:54,9668,1.56658E-06,0.0001220379,-2.45606E-05
04/06/2026,18:00:55,9668.2,1.565316E-06,0.0001220317,-2.455923E-05
04/06/2026,18:00:55,9668.4,1.564048E-06,0.0001220255,-2.455787E-05
04/06/2026,18:00:55,9668.6,1.562779E-06,0.0001220193,-2.455651E-05
04/06/2026,18:00:55,9668.8,1.56151E-06,0.0001220131,-2.455515E-05
04/06/2026,18:00:55,9669,1.560241E-06,0.0001220069,-2.45538E-05
04/06/2026,18:00:56,9669.2,1.558968E-06,0.0001220008,-2.455243E-05
04/06/2026,18:00:56,9669.4,1.557695E-06,0.0001219946,-2.455107E-05
04/06/2026,18:00:56,9669.6,1.556421E-06,0.0001219884,-2.454971E-05
04/06/2026,18:00:56,9669.8,1.555142E-06,0.0001219822,-2.454835E-05
04/06/2026,18:00:56,9670,1.55385E-06,0.000121976,-2.454699E-05
04/06/2026,18:00:57,9670.2,1.552544E-06,0.0001219698,-2.454562E-05
04/06/2026,18:00:57,9670.4,1.551235E-06,0.0001219636,-2.454426E-05
04/06/2026,18:00:57,9670.6,1.549929E-06,0.0001219575,-2.454289E-05
04/06/2026,18:00:57,9670.8,1.548625E-06,0.0001219513,-2.454153E-05
04/06/2026,18:00:57,9671,1.547323E-06,0.0001219451,-2.454017E-05
